Region,Block,Management,Site,Transect,Year,damsel,wrasse,parrotfish,grouper
A,Block 1,a,Site 1,Transect 1,2000,18,0,26,0
A,Block 1,a,Site 1,Transect 1,2001,22,28,0,0
A,Block 1,a,Site 1,Transect 1,2002,0,0,31,0
A,Block 1,a,Site 1,Transect 1,2003,17,0,0,0
A,Block 1,a,Site 1,Transect 1,2004,13,14,0,0
A,Block 1,a,Site 1,Transect 1,2005,11,7,0,2
A,Block 1,a,Site 1,Transect 1,2006,0,0,49,2
A,Block 1,a,Site 1,Transect 1,2007,0,0,33,0
A,Block 1,a,Site 1,Transect 1,2008,0,0,42,3
A,Block 1,a,Site 1,Transect 1,2009,19,23,35,1
A,Block 1,a,Site 1,Transect 1,2010,23,0,39,0
A,Block 1,a,Site 1,Transect 1,2011,16,0,45,3
A,Block 1,a,Site 1,Transect 1,2012,0,28,37,0
A,Block 1,a,Site 1,Transect 1,2013,0,24,32,0
A,Block 1,a,Site 1,Transect 1,2014,10,0,43,0
A,Block 1,a,Site 1,Transect 2,2000,8,0,46,0
A,Block 1,a,Site 1,Transect 2,2001,0,19,35,0
A,Block 1,a,Site 1,Transect 2,2002,15,0,0,2
A,Block 1,a,Site 1,Transect 2,2003,0,0,51,0
A,Block 1,a,Site 1,Transect 2,2004,0,0,0,0
A,Block 1,a,Site 1,Transect 2,2005,0,0,62,0
A,Block 1,a,Site 1,Transect 2,2006,0,6,53,0
A,Block 1,a,Site 1,Transect 2,2007,7,11,0,0
A,Block 1,a,Site 1,Transect 2,2008,0,7,0,0
A,Block 1,a,Site 1,Transect 2,2009,0,0,49,0
A,Block 1,a,Site 1,Transect 2,2010,15,10,38,2
A,Block 1,a,Site 1,Transect 2,2011,10,16,47,0
A,Block 1,a,Site 1,Transect 2,2012,0,0,0,0
A,Block 1,a,Site 1,Transect 2,2013,7,9,32,0
A,Block 1,a,Site 1,Transect 2,2014,9,0,60,0
A,Block 1,a,Site 1,Transect 3,2000,0,0,0,0
A,Block 1,a,Site 1,Transect 3,2001,28,0,0,0
A,Block 1,a,Site 1,Transect 3,2002,26,0,36,0
A,Block 1,a,Site 1,Transect 3,2003,26,23,40,4
A,Block 1,a,Site 1,Transect 3,2004,15,12,0,6
A,Block 1,a,Site 1,Transect 3,2005,19,14,47,1
A,Block 1,a,Site 1,Transect 3,2006,20,0,31,0
A,Block 1,a,Site 1,Transect 3,2007,34,0,0,0
A,Block 1,a,Site 1,Transect 3,2008,23,0,0,0
